cell_name,cell_type
ADAL,Interneuron
ADAR,Interneuron
ADEL,Sensory
ADER,Sensory
ADFL,Sensory
ADFR,Sensory
ADLL,Sensory
ADLR,Sensory
AFDL,Sensory
AFDR,Sensory
AIAL,Interneuron
AIAR,Interneuron
AIBL,Interneuron
AIBR,Interneuron
AIML,Interneuron
AIMR,Interneuron
AINL,Interneuron
AINR,Interneuron
AIYL,Interneuron
AIYR,Interneuron
AIZL,Interneuron
AIZR,Interneuron
ALA,"Interneuron, Sensory"
ALML,Sensory
ALMR,Sensory
ALNL,Sensory
ALNR,Sensory
AQR,Sensory
AS01,Motor
AS10,Motor
AS11,Motor
AS02,Motor
AS03,Motor
AS04,Motor
AS05,Motor
AS06,Motor
AS07,Motor
AS08,Motor
AS09,Motor
ASEL,Sensory
ASER,Sensory
ASGL,Sensory
ASGR,Sensory
ASHL,Sensory
ASHR,Sensory
ASIL,Sensory
ASIR,Sensory
ASJL,Sensory
ASJR,Sensory
ASKL,Sensory
ASKR,Sensory
AUAL,Interneuron
AUAR,Interneuron
AVAL,Interneuron
AVAR,Interneuron
AVBL,Interneuron
AVBR,Interneuron
AVDL,Interneuron
AVDR,Interneuron
AVEL,Interneuron
AVER,Interneuron
AVFL,Interneuron
AVFR,Interneuron
AVG,Interneuron
AVHL,Interneuron
AVHR,Interneuron
AVJL,Interneuron
AVJR,Interneuron
AVKL,Interneuron
AVKR,Interneuron
AVL,"Interneuron, Motor"
AVM,Sensory
AWAL,Sensory
AWAR,Sensory
AWBL,Sensory
AWBR,Sensory
AWCL,Sensory
AWCR,Sensory
BAGL,Sensory
BAGR,Sensory
BDUL,Interneuron
BDUR,Interneuron
CANL,Unknown
CANR,Unknown
CEPDL,Sensory
CEPDR,Sensory
CEPVL,Sensory
CEPVR,Sensory
DA01,Motor
DA02,Motor
DA03,Motor
DA04,Motor
DA05,Motor
DA06,Motor
DA07,Motor
DA08,Motor
DA09,Motor
DB01,"Motor, Sensory"
DB02,"Motor, Sensory"
DB03,"Motor, Sensory"
DB04,"Motor, Sensory"
DB05,"Motor, Sensory"
DB06,"Motor, Sensory"
DB07,"Motor, Sensory"
DD01,Motor
DD02,Motor
DD03,Motor
DD04,Motor
DD05,Motor
DD06,Motor
DVA,"Interneuron, Sensory"
DVB,"Interneuron, Motor"
DVC,Interneuron
FLPL,Sensory
FLPR,Sensory
HSNL,Motor
HSNR,Motor
I1L,"Interneuron, Sensory"
I1R,"Interneuron, Sensory"
I2L,"Interneuron, Sensory"
I2R,"Interneuron, Sensory"
I3,"Interneuron, Sensory"
I4,Interneuron
I5,"Interneuron, Sensory"
I6,"Interneuron, Sensory"
IL1DL,"Interneuron, Sensory, Motor"
IL1DR,"Interneuron, Sensory, Motor"
IL1L,"Interneuron, Sensory, Motor"
IL1R,"Interneuron, Sensory, Motor"
IL1VL,"Interneuron, Sensory, Motor"
IL1VR,"Interneuron, Sensory, Motor"
IL2DL,Sensory
IL2DR,Sensory
IL2L,Sensory
IL2R,Sensory
IL2VL,Sensory
IL2VR,Sensory
LUAL,Interneuron
LUAR,Interneuron
M1,Motor
M2L,Motor
M2R,Motor
M3L,Motor
M3R,Motor
M4,Motor
M5,Motor
MCL,Motor
MCR,Motor
MI,"Interneuron, Motor"
NSML,"Motor, Sensory"
NSMR,"Motor, Sensory"
OLLL,Sensory
OLLR,Sensory
OLQDL,"Interneuron, Sensory"
OLQDR,"Interneuron, Sensory"
OLQVL,"Interneuron, Sensory"
OLQVR,"Interneuron, Sensory"
PDA,Motor
PDB,Motor
PDEL,Sensory
PDER,Sensory
PHAL,Sensory
PHAR,Sensory
PHBL,Sensory
PHBR,Sensory
PHCL,Sensory
PHCR,Sensory
PLML,Sensory
PLMR,Sensory
PLNL,Sensory
PLNR,Sensory
PQR,Sensory
PVCL,Interneuron
PVCR,Interneuron
PVDL,Sensory
PVDR,Sensory
PVM,Sensory
PVNL,"Interneuron, Motor"
PVNR,"Interneuron, Motor"
PVPL,Interneuron
PVPR,Interneuron
PVQL,Interneuron
PVQR,Interneuron
PVR,Interneuron
PVT,Interneuron
PVWL,Interneuron
PVWR,Interneuron
RIAL,Interneuron
RIAR,Interneuron
RIBL,Interneuron
RIBR,Interneuron
RICL,Interneuron
RICR,Interneuron
RID,Motor
RIFL,Interneuron
RIFR,Interneuron
RIGL,Interneuron
RIGR,Interneuron
RIH,Interneuron
RIML,"Interneuron, Motor"
RIMR,"Interneuron, Motor"
RIPL,Interneuron
RIPR,Interneuron
RIR,Interneuron
RIS,Interneuron
RIVL,"Interneuron, Motor"
RIVR,"Interneuron, Motor"
RMDDL,Motor
RMDDR,Motor
RMDL,Motor
RMDR,Motor
RMDVL,Motor
RMDVR,Motor
RMED,Motor
RMEL,Motor
RMER,Motor
RMEV,Motor
RMFL,Motor
RMFR,Motor
RMGL,Interneuron
RMGR,Interneuron
RMHL,Motor
RMHR,Motor
SAADL,"Interneuron, Motor"
SAADR,"Interneuron, Motor"
SAAVL,"Interneuron, Motor"
SAAVR,"Interneuron, Motor"
SABD,"Interneuron, Motor"
SABVL,"Interneuron, Motor"
SABVR,"Interneuron, Motor"
SDQL,"Interneuron, Sensory"
SDQR,"Interneuron, Sensory"
SIADL,"Interneuron, Motor"
SIADR,"Interneuron, Motor"
SIAVL,"Interneuron, Motor"
SIAVR,"Interneuron, Motor"
SIBDL,"Interneuron, Motor"
SIBDR,"Interneuron, Motor"
SIBVL,"Interneuron, Motor"
SIBVR,"Interneuron, Motor"
SMBDL,Motor
SMBDR,Motor
SMBVL,Motor
SMBVR,Motor
SMDDL,Motor
SMDDR,Motor
SMDVL,Motor
SMDVR,Motor
URADL,"Motor, Sensory"
URADR,"Motor, Sensory"
URAVL,"Motor, Sensory"
URAVR,"Motor, Sensory"
URBL,Interneuron
URBR,Interneuron
URXL,"Interneuron, Sensory"
URXR,"Interneuron, Sensory"
URYDL,Sensory
URYDR,Sensory
URYVL,Sensory
URYVR,Sensory
VA01,Motor
VA10,Motor
VA11,Motor
VA12,Motor
VA02,Motor
VA03,Motor
VA04,Motor
VA05,Motor
VA06,Motor
VA07,Motor
VA08,Motor
VA09,Motor
VB01,"Motor, Sensory"
VB10,"Motor, Sensory"
VB11,"Motor, Sensory"
VB02,"Motor, Sensory"
VB03,"Motor, Sensory"
VB04,"Motor, Sensory"
VB05,"Motor, Sensory"
VB06,"Motor, Sensory"
VB07,"Motor, Sensory"
VB08,"Motor, Sensory"
VB09,"Motor, Sensory"
VC01,Motor
VC02,Motor
VC03,Motor
VC04,Motor
VC05,Motor
VC06,Motor
VD01,Motor
VD10,Motor
VD11,Motor
VD12,Motor
VD13,Motor
VD02,Motor
VD03,Motor
VD04,Motor
VD05,Motor
VD06,Motor
VD07,Motor
VD08,Motor
VD09,Motor
