from,to,connectivity
I1L,I1L,-349.94584218349
I1L,I1R,-35.0160200975406
I1L,M2R,-4.69570209189715
I1L,M3L,-1.92060561817289
I1L,M3R,-4.02865319753073
I1L,M4,1.70694099658317
I1L,M5,-6.18565874832208e-07
I1L,MCL,-0.515621936175194
I1L,MCR,-12.8889661148005
I1L,MI,128.624568839883
I1L,NSML,115.980653742477
I1L,NSMR,-12.189715276485
I1L,I2L,88.0429966121592
I1L,I2R,-21.0995395145001
I1L,I3,-39.7112841063299
I1L,I4,-30.9526310301717
I1L,I5,-163.069668829983
I1L,I6,-37.19541274328
I1L,M1,-29.0287533510818
I1L,M2L,-5.20024595821178
I1R,I1L,-5.55402298382614
I1R,I1R,-280.945403943986
I1R,M2R,26.7370567940411
I1R,M3L,-1.23272375275246
I1R,M3R,-1.30072668316643
I1R,M4,-5.19472571610004
I1R,M5,8.98040604744438e-08
I1R,MCL,-2.03565640725537
I1R,MCR,3.54383672962103
I1R,MI,1.75650208609932
I1R,NSML,-5.06213462174492
I1R,NSMR,88.2610420555684
I1R,I2L,-16.3409950745754
I1R,I2R,8.3507094687302
I1R,I3,0.744182906759306
I1R,I4,-17.2959804041675
I1R,I5,-20.9511389206418
I1R,I6,-8.25402943811787
I1R,M1,1.71468024765818
I1R,M2L,-0.217150043517904
M2R,I1L,-1548.74434659437
M2R,I1R,-1383.60851179308
M2R,M2R,-3401.65552309908
M2R,M3L,-115.512135939541
M2R,M3R,-106.704157280382
M2R,M4,-44.9386075790171
M2R,M5,3.23396331172367e-05
M2R,MCL,-111.006859706564
M2R,MCR,-258.448613853982
M2R,MI,-1097.99276243308
M2R,NSML,-605.044666256159
M2R,NSMR,-1229.26877166759
M2R,I2L,-1321.07324222966
M2R,I2R,-1478.75206881674
M2R,I3,-1265.00787887826
M2R,I4,-1690.61565498873
M2R,I5,-1425.5176968024
M2R,I6,-1448.78425218032
M2R,M1,-1468.78567822951
M2R,M2L,-1242.48616354491
M3L,I1L,105.457711780264
M3L,I1R,14.6085059465004
M3L,M2R,149.726220077412
M3L,M3L,-0.079182202282027
M3L,M3R,-1.94845422393973
M3L,M4,31.167660446619
M3L,M5,-4.22972805092306e-06
M3L,MCL,0.087512257081471
M3L,MCR,11.9809529924032
M3L,MI,40.9511465076048
M3L,NSML,238.182144074879
M3L,NSMR,17.1516145599653
M3L,I2L,0.565583437326495
M3L,I2R,6.9703297506494
M3L,I3,32.2445486675115
M3L,I4,27.6428647068715
M3L,I5,16.4574025767051
M3L,I6,23.8605603951564
M3L,M1,2.4786231325952
M3L,M2L,192.273797733604
M3R,I1L,62.4336278581522
M3R,I1R,270.619342161448
M3R,M2R,311.104323515341
M3R,M3L,0.138705974747609
M3R,M3R,-4.16562592687569
M3R,M4,-4.13115141403455
M3R,M5,-2.81432798122754e-06
M3R,MCL,0.128067477779041
M3R,MCR,44.9510032413382
M3R,MI,32.7935774008156
M3R,NSML,28.0276504622543
M3R,NSMR,830.989529131528
M3R,I2L,1.28508259037335
M3R,I2R,42.8166640555337
M3R,I3,54.2181214869397
M3R,I4,17.1984979515864
M3R,I5,7.376080277043
M3R,I6,25.5476766278152
M3R,M1,8.55678155051646
M3R,M2L,16.4442407237711
M4,I1L,-240.49433218056
M4,I1R,-233.158162605952
M4,M2R,-123.431339163817
M4,M3L,-3.50149362103548
M4,M3R,-8.40433280515481
M4,M4,-1386.23311028031
M4,M5,7.07139147601045e-06
M4,MCL,-2.69460827779676
M4,MCR,-76.7958839861285
M4,MI,-326.442764026321
M4,NSML,546.343909911328
M4,NSMR,-359.595944547204
M4,I2L,-256.998735256129
M4,I2R,-228.456641641811
M4,I3,-227.52628798377
M4,I4,-309.768382359624
M4,I5,-275.836769753978
M4,I6,-123.540460297765
M4,M1,-261.22955297096
M4,M2L,-163.735142229439
M5,I1L,-0
M5,I1R,0
M5,M2R,0
M5,M3L,0
M5,M3R,0
M5,M4,-0
M5,M5,-0
M5,MCL,-0
M5,MCR,0
M5,MI,-0
M5,NSML,-0
M5,NSMR,-0
M5,I2L,-0
M5,I2R,0
M5,I3,0
M5,I4,0
M5,I5,0
M5,I6,-0
M5,M1,-0
M5,M2L,0
MCL,I1L,4.07687706842989
MCL,I1R,16.5003845615738
MCL,M2R,0.337336234633767
MCL,M3L,0.225199000730754
MCL,M3R,-0.260890406020735
MCL,M4,13.7381587373761
MCL,M5,-4.31717023504155e-06
MCL,MCL,-0.0686149673656473
MCL,MCR,3.28271700996811
MCL,MI,95.3142594547821
MCL,NSML,0.913285087406621
MCL,NSMR,3.11398782330252
MCL,I2L,-1.02474610091303
MCL,I2R,0.505802791190945
MCL,I3,-12.5810003196184
MCL,I4,-2.57930991579178
MCL,I5,5.53353429405252
MCL,I6,1.78307335103455
MCL,M1,-0.0180157997037895
MCL,M2L,8.64091120502326
MCR,I1L,-130.76611129043
MCR,I1R,-88.5995367198611
MCR,M2R,883.97654068921
MCR,M3L,2.25430011159369
MCR,M3R,2.45015381598478
MCR,M4,-4.84260577764599
MCR,M5,-3.64581983073112e-06
MCR,MCL,-1.50357289975909
MCR,MCR,-480.835440851273
MCR,MI,-165.131434693989
MCR,NSML,-8.81876849183573
MCR,NSMR,-30.0112815554185
MCR,I2L,-302.573688533574
MCR,I2R,-267.246816799683
MCR,I3,-134.253960202173
MCR,I4,-261.00877021485
MCR,I5,-236.681042351343
MCR,I6,-320.353370547306
MCR,M1,-289.82314105006
MCR,M2L,-224.109819966129
MI,I1L,0.0868058228243171
MI,I1R,-0.605447392483256
MI,M2R,1309.20125542629
MI,M3L,-1.72790489680847
MI,M3R,-4.09791652097647
MI,M4,-13.1698577399304
MI,M5,-2.2131556476462e-05
MI,MCL,-2.72497869026574
MI,MCR,40.3564265726682
MI,MI,-168.398873141076
MI,NSML,89.631472975223
MI,NSMR,46.2132891065485
MI,I2L,-10.6928963428545
MI,I2R,-13.0207126392579
MI,I3,6.14728816573734
MI,I4,26.8338869271993
MI,I5,-10.6513460561364
MI,I6,-19.9378848218785
MI,M1,5.00648835057837
MI,M2L,-0.311158328261172
NSML,I1L,-24.5847705639881
NSML,I1R,-85.3625234403844
NSML,M2R,3.34440516045424
NSML,M3L,-10.5505577290942
NSML,M3R,-6.11916595919593
NSML,M4,14.1479831950232
NSML,M5,5.50689898133096e-06
NSML,MCL,-12.0501867789708
NSML,MCR,-2.65311166856827
NSML,MI,-10.6591054839382
NSML,NSML,-348.418046049002
NSML,NSMR,196.163175288162
NSML,I2L,-300.482747745784
NSML,I2R,-375.153373027859
NSML,I3,-109.546753345701
NSML,I4,-127.205444062211
NSML,I5,-137.20248149162
NSML,I6,-204.467436042854
NSML,M1,-83.0381806045225
NSML,M2L,-44.480783599915
NSMR,I1L,-104.971683558841
NSMR,I1R,159.934246604749
NSMR,M2R,57.1119702344959
NSMR,M3L,-12.8464030747928
NSMR,M3R,-14.9686677537775
NSMR,M4,5.83258240814257
NSMR,M5,9.81930006800635e-06
NSMR,MCL,-13.2164645765833
NSMR,MCR,5.5083167583598
NSMR,MI,-150.256997783304
NSMR,NSML,144.15490116583
NSMR,NSMR,-1198.42612225504
NSMR,I2L,-752.988560102231
NSMR,I2R,-364.891734806219
NSMR,I3,-242.104266585493
NSMR,I4,-1166.32012987781
NSMR,I5,-325.655858871227
NSMR,I6,-542.505309907785
NSMR,M1,-103.241235598025
NSMR,M2L,-97.5200230795281
I2L,I1L,241.632882616261
I2L,I1R,-20.1450416808511
I2L,M2R,-6.67046644705715
I2L,M3L,-4.54645081234958
I2L,M3R,-6.2570116798488
I2L,M4,-1.86641132231875
I2L,M5,4.05426384189785e-06
I2L,MCL,-5.09045249270548
I2L,MCR,-7.36962634619795
I2L,MI,-0.449180079303915
I2L,NSML,-29.4844264917065
I2L,NSMR,-91.879162224428
I2L,I2L,-177.02381750586
I2L,I2R,-114.191575164736
I2L,I3,-22.0850887353154
I2L,I4,7.70746126550785
I2L,I5,-229.846241327314
I2L,I6,-32.9275664625784
I2L,M1,366.134684683108
I2L,M2L,1.59380380049879
I2R,I1L,-20.4037807385848
I2R,I1R,183.555737703735
I2R,M2R,259.302640997747
I2R,M3L,-15.2218534244375
I2R,M3R,-16.8661337877311
I2R,M4,-1.17182977578705
I2R,M5,6.9070928499157e-06
I2R,MCL,-16.0370693060786
I2R,MCR,32.1682927749016
I2R,MI,-9.82618567104919
I2R,NSML,-37.1453918281477
I2R,NSMR,113.94124255819
I2R,I2L,-112.817712786904
I2R,I2R,-311.421524172127
I2R,I3,-41.7462732960375
I2R,I4,-313.065196153147
I2R,I5,-69.0236181660239
I2R,I6,-121.941158630198
I2R,M1,275.853998094897
I2R,M2L,-14.9177125668002
I3,I1L,198.792387643207
I3,I1R,7.30717173169432
I3,M2R,-34.8032143330529
I3,M3L,-5.79467876741546
I3,M3R,-4.30386489117973
I3,M4,0.728214731115258
I3,M5,-5.18299674009438e-06
I3,MCL,-5.8168804615625
I3,MCR,22.5990078392579
I3,MI,268.79196622775
I3,NSML,-1.67653636113391
I3,NSMR,-4.45853491151138
I3,I2L,-15.9094237695863
I3,I2R,-7.12430630887138
I3,I3,-125.191728955855
I3,I4,-5.67688899816403
I3,I5,-2.11249861862052
I3,I6,393.276567242703
I3,M1,786.01624572013
I3,M2L,961.348755137981
I4,I1L,0.0411436693520955
I4,I1R,-5.47092291495937
I4,M2R,218.008839105707
I4,M3L,-1.77420419580722
I4,M3R,0.540546499947595
I4,M4,511.8747682627
I4,M5,-2.12957958931857e-05
I4,MCL,-3.18751136877654
I4,MCR,-3.89236914767298
I4,MI,46.5557867878329
I4,NSML,4.63784758350994
I4,NSMR,175.18273688222
I4,I2L,379.168539715361
I4,I2R,375.546002519462
I4,I3,-0.756450310802393
I4,I4,-88.8918646537004
I4,I5,-124.810711804326
I4,I6,-6.21885261232819
I4,M1,37.2368206246238
I4,M2L,1113.13344019102
I5,I1L,-9.63085515376042
I5,I1R,104.285672746455
I5,M2R,338.330220040007
I5,M3L,-3.28160767661211
I5,M3R,-2.288936682643
I5,M4,17.6300940723186
I5,M5,6.3867538703348e-06
I5,MCL,0.617486905694022
I5,MCR,-12.2979916131753
I5,MI,-0.0119785830638648
I5,NSML,-33.3870281593372
I5,NSMR,-12.0014334634325
I5,I2L,-23.8527636029739
I5,I2R,-12.6358947224526
I5,I3,-38.2321688628872
I5,I4,99.8375764099319
I5,I5,-128.810760878569
I5,I6,-6.97367326617677
I5,M1,195.251091299627
I5,M2L,351.489090715461
I6,I1L,-39.4691515419872
I6,I1R,-22.3298042803217
I6,M2R,12.1037328498801
I6,M3L,-4.27866400494349
I6,M3R,-1.30545925767183
I6,M4,510.220428437292
I6,M5,8.75335797091877e-06
I6,MCL,-4.41264484466501
I6,MCR,-12.6390797307731
I6,MI,-1.28194287807446
I6,NSML,-72.2865515499634
I6,NSMR,-66.6160228876724
I6,I2L,-5.55829033123155
I6,I2R,-32.9389869972383
I6,I3,-20.1704649071053
I6,I4,-15.5574541111582
I6,I5,-28.5042734558101
I6,I6,-178.873203799472
I6,M1,-39.8316343319448
I6,M2L,-3.53597233812752
M1,I1L,-9.85296132803705
M1,I1R,28.166028360336
M1,M2R,-8.30253800128457
M1,M3L,2.54784130758071
M1,M3R,2.59456418744412
M1,M4,17.9592894927496
M1,M5,-1.20905636126992e-05
M1,MCL,2.7710759206393
M1,MCR,35.6722831227135
M1,MI,447.648401101907
M1,NSML,-10.9381520435763
M1,NSMR,-14.027069890748
M1,I2L,-7.01959333937157
M1,I2R,11.7079346051978
M1,I3,72.5512057892684
M1,I4,-6.56825575999028
M1,I5,-9.99953042257948
M1,I6,-7.82186957214981
M1,M1,-30.9121835556361
M1,M2L,1.90547505804307
M2L,I1L,-21.8821250803303
M2L,I1R,-9.8929210587703
M2L,M2R,-18.2288380253763
M2L,M3L,1.79358715651233
M2L,M3R,-2.20049726766956
M2L,M4,1248.78755121331
M2L,M5,-1.33436801129788e-05
M2L,MCL,1.36771280460744
M2L,MCR,20.3976906254502
M2L,MI,404.08589700217
M2L,NSML,-58.5674511988236
M2L,NSMR,-18.9122963453701
M2L,I2L,-6.73317630947713
M2L,I2R,-28.5688477072927
M2L,I3,56.5316340491136
M2L,I4,286.176403126055
M2L,I5,-17.0370856896934
M2L,I6,-18.0548148160706
M2L,M1,-8.0275354177702
M2L,M2L,-61.2615824605009
